AIPGENE19387	KXJ28665.1
AIPGENE19398	KXJ28703.1
AIPGENE19390	KXJ28647.1
AIPGENE19447	KXJ28699.1
AIPGENE19407	KXJ28717.1
AIPGENE19438	KXJ28646.1
AIPGENE19419	KXJ28635.1
AIPGENE19423	KXJ28666.1
AIPGENE19418	KXJ28663.1
AIPGENE19469	KXJ28641.1
AIPGENE19426	KXJ28704.1
AIPGENE19433	KXJ28700.1
AIPGENE19439	KXJ28633.1
AIPGENE19420	KXJ28702.1
AIPGENE19384	KXJ28711.1
AIPGENE19424	KXJ28730.1
AIPGENE19467	KXJ28632.1
AIPGENE19440	KXJ28680.1
AIPGENE19461	KXJ28688.1
AIPGENE19378	KXJ28653.1
AIPGENE19428	KXJ28684.1
AIPGENE19367	KXJ28725.1
AIPGENE19448	KXJ28706.1
AIPGENE19394	KXJ28664.1
AIPGENE19458	KXJ28667.1
AIPGENE19391	KXJ28657.1
AIPGENE19403	KXJ28634.1
AIPGENE19441	KXJ28668.1
AIPGENE19397	KXJ28673.1
AIPGENE19411	KXJ28722.1
AIPGENE19388	KXJ28685.1
AIPGENE19365	KXJ28679.1
AIPGENE19402	KXJ28709.1
AIPGENE19366	KXJ28630.1
AIPGENE19410	KXJ28682.1
AIPGENE19363	KXJ28728.1
AIPGENE19386	KXJ28656.1
AIPGENE19409	KXJ28693.1
AIPGENE19393	KXJ28734.1
AIPGENE19444	KXJ28659.1
AIPGENE19466	KXJ28631.1
AIPGENE19380	KXJ28690.1
AIPGENE19375	KXJ28651.1
AIPGENE19460	KXJ28696.1
AIPGENE19456	KXJ28697.1
AIPGENE19381	KXJ28726.1
AIPGENE19454	KXJ28660.1
AIPGENE19415	KXJ28636.1
AIPGENE19416	KXJ28661.1
AIPGENE19436	KXJ28650.1
AIPGENE19452	KXJ28642.1
AIPGENE19364	KXJ28655.1
AIPGENE19377	KXJ28674.1
AIPGENE19389	KXJ28721.1
AIPGENE19413	KXJ28675.1
AIPGENE19392	KXJ28733.1
AIPGENE19376	KXJ28670.1
AIPGENE19443	KXJ28669.1
AIPGENE19425	KXJ28695.1
AIPGENE19383	KXJ28718.1
AIPGENE19465	KXJ28715.1
AIPGENE19372	KXJ28691.1
AIPGENE19396	KXJ28714.1
AIPGENE19371	KXJ28712.1
AIPGENE19445	KXJ28652.1
AIPGENE19468	KXJ28716.1
AIPGENE19404	KXJ28643.1
AIPGENE19451	KXJ28707.1
AIPGENE19437	KXJ28719.1
AIPGENE19453	KXJ28645.1
AIPGENE19446	KXJ28678.1
AIPGENE19435	KXJ28648.1
AIPGENE19373	KXJ28686.1
AIPGENE19369	KXJ28705.1
AIPGENE19385	KXJ28676.1
AIPGENE19362	KXJ28671.1
AIPGENE19405	KXJ28640.1
AIPGENE19431	KXJ28689.1
AIPGENE19450	KXJ28727.1
AIPGENE19455	KXJ28701.1
AIPGENE19414	KXJ28638.1
AIPGENE19463	KXJ28644.1
AIPGENE19374	KXJ28713.1
AIPGENE19457	KXJ28724.1
AIPGENE19470	KXJ28677.1
AIPGENE19370	KXJ28654.1
AIPGENE19449	KXJ28731.1
AIPGENE19368	KXJ28637.1
AIPGENE19395	KXJ28681.1
AIPGENE19434	KXJ28662.1
AIPGENE19430	KXJ28720.1
AIPGENE19400	KXJ28698.1
AIPGENE19429	KXJ28735.1
AIPGENE19408	KXJ28708.1
AIPGENE19399	KXJ28732.1
AIPGENE19459	KXJ28672.1
AIPGENE25154	KXJ21145.1
AIPGENE25166	KXJ21162.1
AIPGENE25182	KXJ21170.1
AIPGENE25170	KXJ21116.1
AIPGENE25205	KXJ21143.1
AIPGENE25175	KXJ21158.1
AIPGENE25177	KXJ21120.1
AIPGENE25195	KXJ21140.1
AIPGENE25157	KXJ21136.1
AIPGENE25156	KXJ21171.1
AIPGENE25161	KXJ21139.1
AIPGENE25167	KXJ21128.1
AIPGENE25196	KXJ21130.1
AIPGENE25171	KXJ21149.1
AIPGENE25173	KXJ21129.1
AIPGENE25158	KXJ21144.1
AIPGENE25148	KXJ21156.1
AIPGENE25199	KXJ21125.1
AIPGENE25179	KXJ21122.1
AIPGENE25172	KXJ21131.1
AIPGENE25153	KXJ21147.1
AIPGENE25168	KXJ21134.1
AIPGENE25188	KXJ21148.1
AIPGENE25184	KXJ21175.1
AIPGENE25210	KXJ21165.1
AIPGENE25192	KXJ21159.1
AIPGENE25165	KXJ21173.1
AIPGENE25183	KXJ21133.1
AIPGENE25155	KXJ21117.1
AIPGENE25150	KXJ21115.1
AIPGENE25176	KXJ21138.1
AIPGENE25198	KXJ21177.1
AIPGENE25160	KXJ21126.1
AIPGENE25159	KXJ21157.1
AIPGENE25163	KXJ21127.1
AIPGENE25174	KXJ21167.1
AIPGENE25146	KXJ21123.1
AIPGENE25149	KXJ21121.1
AIPGENE25189	KXJ21174.1
AIPGENE25186	KXJ21163.1
AIPGENE25152	KXJ21152.1
AIPGENE25142	KXJ21176.1
